,URL,Category,RawCategory,MatchCategory,City
323,https://www.viator.com/Madrid-tours/Airport-and-Ground-Transfers/d566-g15-c52,Airport & Hotel Transfers,/Madrid-tours/Airport-and-Ground-Transfers/d566-g15-c52,Airport-and-Ground-Transfers,Madrid
324,https://www.viator.com/Madrid-tours/Full-day-Tours/d566-g12-c94,Full-day Tours,/Madrid-tours/Full-day-Tours/d566-g12-c94,Full-day-Tours,Madrid
325,https://www.viator.com/Madrid-tours/Theater-Shows-and-Musicals/d566-g11-c44,Theater Shows,/Madrid-tours/Theater-Shows-and-Musicals/d566-g11-c44,Theater-Shows-and-Musicals,Madrid
326,https://www.viator.com/Madrid-tours/Hop-on-Hop-off-Tours/d566-g12-c97,Hop on Hop Off Buses,/Madrid-tours/Hop-on-Hop-off-Tours/d566-g12-c97,Hop-on-Hop-off-Tours,Madrid
327,https://www.viator.com/Madrid-tours/Cooking-Classes/d566-g6-c19,Cooking Classes,/Madrid-tours/Cooking-Classes/d566-g6-c19,Cooking-Classes,Madrid
328,https://www.viator.com/Madrid-tours/Literary-Art-and-Music-Tours/d566-g4-c14,Art Tours,/Madrid-tours/Literary-Art-and-Music-Tours/d566-g4-c14,Literary-Art-and-Music-Tours,Madrid
329,https://www.viator.com/Madrid-tours/Sporting-Event-Tickets-and-Passes/d566-g8-c40306,Sporting Events,/Madrid-tours/Sporting-Event-Tickets-and-Passes/d566-g8-c40306,Sporting-Event-Tickets-and-Passes,Madrid
330,https://www.viator.com/Madrid-tours/Art-and-Culture/d566-tag21910,Art & Culture,/Madrid-tours/Art-and-Culture/d566-tag21910,Art-and-Culture,Madrid
331,https://www.viator.com/Madrid-tours/Classes-and-Workshops/d566-g26051,Classes & Workshops,/Madrid-tours/Classes-and-Workshops/d566-g26051,Classes-and-Workshops,Madrid
332,https://www.viator.com/Madrid-tours/Food-Wine-and-Nightlife/d566-g6,Food & Drink,/Madrid-tours/Food-Wine-and-Nightlife/d566-g6,Food-Wine-and-Nightlife,Madrid
333,https://www.viator.com/Madrid-tours/LTSO-Viator-Market-Driven-Merchandising/d566-tag22083,Likely To Sell Out,/Madrid-tours/LTSO-Viator-Market-Driven-Merchandising/d566-tag22083,LTSO-Viator-Market-Driven-Merchandising,Madrid
334,https://www.viator.com/Madrid-tours/Outdoor-Activities/d566-g9,Outdoor Activities,/Madrid-tours/Outdoor-Activities/d566-g9,Outdoor-Activities,Madrid
335,https://www.viator.com/Madrid-tours/Seasonal-and-Special-Occasions/d566-tag21916,Seasonal & Special Occasions,/Madrid-tours/Seasonal-and-Special-Occasions/d566-tag21916,Seasonal-and-Special-Occasions,Madrid
336,https://www.viator.com/Madrid-tours/Sightseeing-Tickets-and-Passes/d566-g8,Tickets & Passes,/Madrid-tours/Sightseeing-Tickets-and-Passes/d566-g8,Sightseeing-Tickets-and-Passes,Madrid
337,https://www.viator.com/Madrid-tours/Tours-and-Sightseeing/d566-g12,"Tours, Sightseeing & Cruises",/Madrid-tours/Tours-and-Sightseeing/d566-g12,Tours-and-Sightseeing,Madrid
338,https://www.viator.com/Madrid-tours/Transfers-and-Ground-Transport/d566-g15,Travel & Transportation Services,/Madrid-tours/Transfers-and-Ground-Transport/d566-g15,Transfers-and-Ground-Transport,Madrid
339,https://www.viator.com/Madrid-tours/Unique-Experiences/d566-g50127-c50128,Unique Experiences,/Madrid-tours/Unique-Experiences/d566-g50127-c50128,Unique-Experiences,Madrid
340,https://www.viator.com/Milan/d512-ttd,Global,/Global/Global,Global,Milan
